NCT Number,Study Title
NCT04647461,Comparison of Efficacy and Ocular Surface Disease Assessment Between BRIDIN-T Eye Drops 0.15% and ALPHAGAN-P Eye Drops 0.15% in Glaucoma or Ocular Hypertensive Patients : Phase 4 Parallel Group Design Investigator-blind Active-control Randomized Multi-center Trial
NCT00001161,Abnormalities of the Eye's Anterior Chamber Iris Cornea and Lens
NCT01157364,Safety and Efficacy of a New Ophthalmic Formulation of Bimatoprost in Patients With Open Angle Glaucoma and Ocular Hypertension
NCT05495061,A Comparative Confirmatory Study of STN1012600 in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension
NCT01310764,Trabeculectomy With Subconjunctival Bevacizumab Injection
NCT00853073,Does Adding Bevacizumab Therapy in Glaucoma Surgery Improve the Success of Needle Bleb Revisions?
NCT04616573,A Post-market Study Of Use Of The OMNI® Surgical System In Open Angle Glaucoma
NCT02246764,Study of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT00443664,External Micropulse Diode Laser Transscleral Trabeculoplasty (EMDLT) for Severe Open Angle Glaucoma
NCT02024464,Comparing Hydrus Microstent(TM) to the iStent for Lowering IOP in Glaucoma Patients Undergoing Cataract Surgery
NCT04722861,Development of the Glaucoma Visual Functioning Questionnaire-40 and Its Psychometric Properties
NCT01426464,Intraocular Pressure (IOP) Lowering Efficacy of Transdermal Latanoprost Therapy
NCT05696561,Clinical Trial to Evaluate the Safety and Effectiveness of a Canaloplasty Device in Subjects With Open-Angle Glaucoma
NCT03270761,Zhongshan Iridocorneal Endothelial Syndrome Study (ICEs)
NCT02138461,Tolerability of Bimatoprost 0.01% vs Latanoprost Eye Drops
NCT00971061,Ahmed Glaucoma Valve and Single-Plate Molteno Implants in Treatment of Refractory Glaucoma
NCT01092273,Bimatoprost Versus Travoprost at Cairo University
NCT01212861,Surgical Treatment of Refractory Open Angle Glaucoma
NCT01263561,Prospective Randomized Study Comparing Ex-PRESS to Trabeculectomy
NCT05289453,Phacoemulsification in Acute Congestive Glaucoma
NCT04735653,The Support Educate Empower (SEE) Program
NCT00628173,Results of Different Location of Ahmed Glaucoma Valve Implantation in Refractory Glaucoma Superior Versus Inferior
NCT01863953,A Safety and Efficacy Study of Fixed-Combination Bimatoprost and Brimonidine in Chronic Glaucoma or Ocular Hypertension
NCT01994564,Prevalence of Dyschromatopsia in Glaucoma Patients
NCT01028664,Use of an Ocular Telemetry Sensor in Diamox Treated Patients
NCT06152861,Travoprost Ophthalmic Topical Cream for Open-angle Glaucoma or Ocular Hypertension
NCT00811564,An Evaluation of the Fixed Combination Brimonidine Tartrate 0.2%/ Timolol Maleate 0.5% to Latanoprost 0.005% in Glaucoma or Ocular Hypertension Subjects
NCT04098861,Efficacy and Safety of Latanoprost/Timolol for Primary Open Angle Glaucoma
NCT01714960,Safety and Tolerability of MRZ-99030 Eye Drops in Healthy Volunteers and Glaucoma Patients
NCT02796560,Generic Travoprost Versus Brand Name Travoprost in Patients With Primary Open Angle Glaucoma or Ocular Hypertension
NCT01192061,Autonomic Nervous System Activity and Normal Tension Glaucoma
NCT05080153,Effect of Vitamin Supplementation in Glaucoma Patients
NCT03284853,Safety and Efficacy Study of PG324 (Netarsudil/Latanoprost 0.02% / 0.005%) Ophthalmic Solution Compared to GANFORT® Ophthalmic Solution in Open Angle Glaucoma or Ocular Hypertension
NCT00519753,Success of Transitioning Uncontrolled Glaucoma Patients From Prior Mono or Adjunctive Therapy to DuoTrav
NCT01467453,Clinical Application of Sensimed Triggerfish Sensor (TS) With Wireless Signal Transmission for Continuous Intraocular Pressure Measurement
NCT01814761,A Study of Bimatoprost 0.01% in the Clinical Setting
NCT05401760,Combined Phacoaspiration and Angle Surgery Versus Phacoaspiration in Pediatric Cataract
NCT03374553,MINIject 636 in Patients With Open Angle Glaucoma Uncontrolled by Topical Hypotensive Medications
NCT03966560,Choroidal Thickness and Its Correlations With Ocular Parameters in Primary Open-angle Glaucoma
NCT04723160,Computer Aided Diagnosis of Multiple Eye Fundus Diseases From Color Fundus Photograph
NCT02140060,6-Week Proof-of-Concept Study of Travoprost/Brinzolamide Ophthalmic Suspension in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT00763061,Travatan Versus Timoptic in Treating Open-angle Glaucoma or Ocular Hypertension
NCT00159653,A 12-Week Randomized Double-Masked Parallel Group Comparison Of Evening Dosing With Xalacom In Subjects With Glaucoma
NCT06077253,Danish Angle Closure Prevention Trial
NCT04454138,Ab Interno Gelatin Stent With Mitomycin C Using Targeted Supra-tenon's Placement
NCT01059162,Evaluation of OT-135P (IOPtiMateTM) : Beam Manipulating System for CO2 Laser Assisted Non-Penetrating Glaucoma Surgery
NCT06017362,Clinical Trial To Determine The Efficacy And Safety Of Insulin Eye Drops In Dry Eye In Patients With Topical Hypotensors
NCT04202562,Efficacy and Safety of ab Interno Trabeculectomy With the Kahook Dual Blade
NCT04437446,OCT Angiography in the Glaucoma Diagnosis
NCT03752710,Biometry of Occult Lens Subluxation Misdiagnosed as Primary Acute Angle Closed Glaucoma
NCT00578110,Instrument for Glaucoma Early Detection and Monitoring
NCT02051946,Novel Drug Delivery Technique Via Retroject Device
NCT02371746,Safety and Efficacy of ENV515 Travoprost Extended Release (XR) in Patients With Bilateral Ocular Hypertension or Primary Open Angle Glaucoma
NCT00545064,Dry Eye Study With Cosopt® Over 8 Weeks in Patients With Open-Angle Glaucoma or Ocular Hypertension (0507A-152)(COMPLETED)
NCT00283764,Safety And Efficacy Of Xalatan Delivered Using Either A Conventional Dropper Bottle or A Delivery Device
NCT04274764,Screening and Intervention for Glaucoma and Eye Health Through Telemedicine
NCT04476810,Long Term Outcome of Combined Phacoemulsification and Excisional Goniotomy With the Kahook Dual Blade
NCT01194310,Phaco vs. Phaco-ELT vs. Phaco-Trabectome 12m
NCT00293761,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT04317573,Effect on the Adherence to Glaucoma Eye Drops by Improving Patient Understanding and Using a Tele-reminder System
NCT02565173,Study of Trabodenoson in Adults With Ocular Hypertension or Primary Open-angle Glaucoma
NCT01404364,Use of Intravitreal Triamcinolone and Retrobulbar Chlorpromazine as Alternatives to the Management of Painful Blind Eye
NCT04334564,Effect of Ginkgo Biloba Capsule on Visual Function of Primary Open-angle Glaucoma With Blood Stasis Syndrome
NCT03323164,Peripapillary Blood Flow After Use of Anti-glaucoma Medications: An OCT Angiography Study
NCT00947661,Efficacy and Safety of SPARC0912 and Reference0912 in Open Angle Glaucoma or Ocular Hypertension
NCT01304264,Intraocular Pressure Blood Pressure Ocular Perfusion and Blood Flow Fluctuations in Glaucoma Patients
NCT04155164,Effect of Metformin on Visual Function in Patients With Glaucoma
NCT01652664,Study of Travoprost Ophthalmic Solution 0.004% Compared to Timolol (0.5% or 0.25%) in Pediatric Glaucoma Patients
NCT02114073,Comparison of Effect of Postoperative Cyclosporine A 2% Ophthalmic Emulsion and Betamethasone Eye Drop on Surgical Success of Trabeculectomy Procedure
NCT01791673,Circular Cyclocoagulation Using HIFU With EYEOP1 Device in Glaucoma Patients
NCT00815373,The Effects of Cosopt® Vs Xalacom® on Ocular Hemodynamics and Intraocular Pressure (IOP) in Primary Open-angle Glaucoma (POAG)
NCT00470964,Titanium-Sapphire Laser Trabeculoplasty in Glaucoma: A Randomized Study Comparing Titanium-Sapphire With Argon Laser Trabeculoplasty in Open-Angle Glaucoma Patients
NCT04736264,Malay Glaucoma Eye Study II Navigation Mobility and Reading Ability in Primary Glaucoma
NCT04465864,Investigate Following Cataract Surgery With IOL in Conjunction With Intracanalicular Dexamethasone Insert
NCT01699464,A Study Assessing the Safety and Ocular Hypotensive Efficacy of AR-12286 in Patients With Elevated Intraocular Pressure for 3 Months
NCT02636946,A Comparison of Bimatoprost SR to Selective Laser Trabeculoplasty in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT01542710,Bimatoprost/Timolol Versus Travoprost/Timolol
NCT03318510,LSFG in Patients With Normal Tension Glaucoma Tension Glaucoma
NCT01589510,A Study of Lumigan® 0.01% in Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT)
NCT04912362,The Effectiveness of YAG Iridotomy in Preventing Peripheral Anterior Synechia After CLASS in Primary Open Angle Glaucoma
NCT01229462,Safety and Efficacy of Brimonidine Tartrate/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension
NCT02981446,A Phase III Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution Compared With Latanoprost Ophthalmic Solution in Subjects With OAG or OHT
NCT05181046,Evaluation of Nanodropper-mediated Microdrops vs. Standard Drops of 0.5% Timolol Maleate in Glaucoma Patients
NCT03891446,Long-term Safety and Efficacy Extension Trial of Bimatoprost SR
NCT02544646,Changes in Ocular Rigidity After Trabeculectomy in Patients With POAG
NCT03808688,Study of Rhopressa® for the Reduction of Elevated Intraocular Pressure in Patients With Glaucoma or Ocular Hypertension in a Real-world Setting
NCT01068938,Comparison of Visual Fields: Humphrey Field Analyzer (HFA) SITA Strategy SCOPE (GATE Strategy) and Humphrey MATRIX Perimeter
NCT03310788,Monitoring of the IOP After SLT Using iCare Home
NCT00727038,Lucentis for New Onset Neovascular Glaucoma
NCT00844389,Near to Infrared (NIR) Light Neuroprotection in Glaucomatous Optic Neuropathy
NCT01401088,Evaluation of Safety and Efficacy of Glaucoma Shunt (Aurolab Artificial Drainage Implant) in Refractory Glaucoma
NCT01467388,Efficacy of Selective Laser Trabeculoplasty in Pseudophakic Patients
NCT01252888,Prospective Evaluation of Open-angle Glaucoma Subjects on Two Topical Hypotensive Medication Treated With Two iStents
NCT04891588,Switching From the Preserved to the Preservative - Free Latanoprost - Timolol FC in Glaucoma Patients With OSD
NCT01841450,Multicenter Post-Approval Study Of The Glaukos® iStent® Trabecular Micro-Bypass Stent System In Conjunction With Cataract Surgery
NCT00811850,Comparing Effects of Two Fixed Combinations Ophthalmic Solutions on Ocular Blood Flow
NCT03067415,Exploratory Trial to Evaluate the Efficacy and Safety of D565H Twice Daily Versus D565 Once Daily
NCT04188015,Study of ANX007 in Participants With Primary Open-angle Glaucoma
NCT02085850,Incidence and Progression of Glaucoma in the Tema Eye Survey Cohort
NCT05484050,VEGF in Iris Tissue in Primary Congenital Glaucoma
NCT02537015,An Open-label Extension Study to Evaluate the Safety of the 13 mg Bimatoprost Ocular Insert
NCT05797350,Paul Glaucoma Implant Versus Ahmed Glaucoma Valve in Childhood Glaucoma
NCT01253902,Ocular Surface Tolerability Study of Prostaglandin Analogues in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT05201378,Deep Sclerectomy vs Xen in Solo Procedure
NCT01084902,Efficacy Comparison of Xalatan and Azopt on POAG and OH
NCT04011878,Histopathological Examination of Iris Tissue in Buphthalmos
NCT02209077,Spectralis OCT Repeatability and Reproducibility Study
NCT02622178,How Accurately Does the Diopsys Visual Evoked Potential (VEP) Vision Testing System Detect Glaucoma?
NCT00572455,Safety and Efficacy of PF-04217329 in Patients With Glaucoma or Elevated Eye Pressure.
NCT02571712,Safety of GANFORT® Ophthalmic Solution in Chinese Patients With Open-angle Glaucoma or Ocular Hypertension
NCT01997255,Adjunctive Everolimus (RAD 001) Therapy for Epilepsy in Children With Sturge-Weber Syndrome (SWS)
NCT01453855,Travoprost 3-Month Safety and Efficacy Study
NCT01027312,Assessment of Ability Related to Vision
NCT04683055,Phaco-Trabeculotomy Vs Phaco-Trabeculectomy
NCT01881425,InnFocus MicroShunt Versus Trabeculectomy Study
NCT01495312,24-hr Intraocular Pressure (IOP) Patterns of Glaucoma Patients After Selective Laser Trabeculoplasty (SLT)
NCT00595855,A Comparison Between Deep Sclerectomy and Trabeculectomy
NCT02001155,Comparing the Effect of the Water Drinking Test on Intraocular Pressure
NCT04484155,Minimally Invasive Micro Sclerostomy: Safety and Preliminary Performance Study
NCT00051155,A 6-Week Safety and Efficacy Study of Travatan Compared to Xalcom in Subjects With Open-Angle Glaucoma(OAG) or Ocular Hypertension(OHT)
NCT05230355,Comparison Between Two Techniques of Subthreshold Diode Laser Cyclophotocoagulation in Refractory Glaucoma
NCT01487655,Waveform Analysis of the Doppler Curve of Ophthalmic Arteries in Glaucoma Patients
NCT00442312,Combigan Ophthalmic Solution(Brimonidine 0.2% and Timolol 0.5%)With Latanoprost Compared With Latanoprost Monotherapy
NCT01592955,Glaucoma Treatment by Cyclo-coagulation Using High Intensity Focused Ultrasound (HIFU)
NCT02691455,The American Glaucoma Society (AGS) Second Aqueous Shunt Implant vs. Transscleral Cyclophotocoagulation Treatment Study (ASSISTS)
NCT00273455,Lumigan Versus Cosopt
NCT03760055,Assessment of Visual Function With a Portable Brain-computer Interface
NCT05127525,EffiCacy Safety and ToLErability of a Novel Ocular ANtiseptic for Ocular Use (CLEAN)
NCT01425112,Comparison of Subconjuctival Versus Topical Bevacizumab as Adjunct Therapy to Trabeculectomy
NCT04949555,Long Term Evaluation of Primary Congenital Glaucoma Management in Sohag University Hospital
NCT03736655,Study of a Novel Interposition Supraciliary Implant in Patients With Open Angle Glaucoma
NCT03154892,The Effect of Conbercept Injection Through Different Routes for Neovascular Glaucoma
NCT01156012,Efficacy and Safety Assessment of T2345 in Ocular Hypertensive or Glaucomatous Patients
NCT00571012,Aqueous Outflow Facility Changes With Posture
NCT02157025,A More Engaging Visual Field Test to Increase Use and Reliability in Pediatrics
NCT01383525,Direct Application of Selective Laser Trabeculoplasty in Open Angle Glaucoma
NCT01179555,Confronting Unequal Eye Care in Pennsylvania
NCT01828255,Intraocular Pressure (IOP) Patterns in Fast Versus Slow Visual Field (VF) Progression Patients
NCT00333125,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT03761992,Measurement of the Effect of Gingko Biloba Extract on Ocular and Nailfold Blood-flow in NTG
NCT01937312,Effect of SIMBRINZA® Suspension as an Added Therapy to a Prostaglandin Analogue
NCT00822055,Comparison of the Fixed Combinations of Brimonidine/Timolol and Dorzolamide/Timolol in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT02376725,Comparing Phaco/IOL Versus Phaco/IOL + Goniosynechialysis in Subjects With PACG
NCT01544192,Impact of Oral Versatile Antioxidants on Glaucoma Progression
NCT01753492,Trabeculectomy With Ologen
NCT02434692,Safety and Performance Study of the ARGOS-IO (Intraocular) System in Patients With Primary Open Angle Glaucoma (POAG)
NCT00941525,Central Corneal Thickness and 24-hour Fluctuation of Intraocular Pressure
NCT04335825,Surgical and Refractive Outcomes of Combined Glaucoma Surgery
NCT00313092,Obstructive Sleep Apnea Syndrome in Glaucoma
NCT00000122,Fluorouracil Filtering Surgery Study (FFSS)
NCT03646500,Comparing Conscious Sedation to Retrobulbar Block Anesthetics During Trans-scleral Diode Laser
NCT05968547,Evaluation of Patients' Requirements for Improved Advice and Guidance on Vision Standards for Driving in Glaucoma
NCT01485822,A Multicenter Study of the Pigmentation in the Trabecular Meshwork After Two Years of Treatment With TRAVATAN 0.004% Ophthalmic Solution
NCT03690622,Effect of Topical Dexmedetomidine on Intraocular Pressure
NCT00695747,Intraocular Pressure Control Following One Site Versus Two Site Combined Phacoemulsification/IOL And Trabeculectomy
NCT01938287,SENSIMED Triggerfish in Closed Eyes
NCT04321122,UCP (Ultrasound Cyclo Plasty) in the Treatment of Chinese Patients With Primary Open-angle Glaucoma
NCT00991822,A Comparison of the Effect of Dorzolamide and Timolol on Optic Disk Blood Flow in Patients With Open Angle Glaucoma
NCT00430287,Does the Optic Disc Grading Done Visually by Your Doctor Agree With Optic Nerve Testing Which is Done by Machines?
NCT00906087,Effect of Myocilin Genetic Variants on Intraocular Pressure and Pressure Variation in Sitting and Supine Positions
NCT04639947,Reliability and Reproducibility of the Eye Check Tonometer
NCT01004900,Intraocular Pressure (IOP) Lowering Effect of Selective Laser Trabeculoplasty Versus Prostaglandin Analogues in Angle Closure Glaucoma
NCT05335122,A Study to Evaluate the Efficacy and Safety of OTX-TIC (Travoprost) Intracameral Implant for Patients With Open-angle Glaucoma (OAG) or Ocular Hypertension (OHT)
NCT00293787,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT03204487,A Study on the Effect of Changing From Preserved Prostaglandin Formulations to Preservative Free Tafluprost on Tear Film Thickness
NCT05892185,Evaluate the Efficacy and Safety of Glaucoma Implant in Primary Open Angle Glaucoma
NCT04949347,Glycerin-Preserved Human-Donor Corneoscleral Patch Grafts for Glaucoma Drainage Devices
NCT03996200,MINIject in Patients With Open Angle Glaucoma Using Single Operator Delivery Tool
NCT00454922,Effect of Glaucoma Educators on Adherence to Prescribed Therapeutic Regimens in Glaucoma Patients
NCT02003547,A Single Centre Study to Evaluate 3 Ophthalmic Formulations in Healthy Subjects
NCT05366647,GATT Versus Canaloplasty (GVC)
NCT01391247,Validation of Retinal Oximetry in Glaucoma Patients: a Structural and Functional Correlation
NCT00744666,IntraVitreal Triamcinolone Acetonide: Preventing Raised Eye-pressure by Tracking Elevations After Topical Steroids
NCT01704248,The Effect of Eye Drop Guide on the Success Rate of Eye Drops Self-instillation in Glaucoma Patients
NCT01372319,Assessment of Advanced Glaucomatous Visual Field Loss and Its Impact on Visual Exploration Activities of Daily Living (ADL) and Quality of Life (QoL)
NCT02438319,Automatic vs. Manual Optic Disc Planimetry
NCT03166566,Laminar Drainage Implant: Safety of a Novel Surgical Treatment for Refractory Glaucoma.
NCT00383019,A Study Comparing Xalacom And Xalatan In Patients With Primary Open Angle Glaucoma (POAG) Or Ocular Hypertension (OH).
NCT01742819,Advanced Glaucoma Progression Study
NCT05529966,Comparing NGENUITY vs Conventional Microscope in a New Hydrus User
NCT01345448,Intraocular Pressure (IOP) Lowering Efficacy of Transdermal Brimonidine Therapy
NCT02030886,IOP Patterns in Ocular Hypertensive Patients Newly Converted to Glaucoma vs Stable Ocular Hypertensive Patients
NCT01265719,Long-Term Non-Interventional Latanoprost Study
NCT02097719,Efficacy and Safety Study of Bimatoprost 0.01% Alone Compared With Travoprost 0.004% and Timolol 0.5% in Subjects With Glaucoma or Ocular Hypertension
NCT01645319,Comparative Effectiveness of Treatment Strategies for Primary Open-Angle Glaucoma
NCT04872348,An Observational Multicenter Clinical Study To Assess The Safety And Effectiveness Of The OMNI® Surgical System In Pseudophakic Eyes With Primary Open Angle Glaucoma (ORION 2.0)
NCT04903366,Absorption and Safety of Topical Timolol to Treat Chronic Wounds
NCT04981886,Intraocular Pressure Reduction Efficacy of Rhopressa and Lumigan in Normal Tension Glaucoma
NCT04499248,AGN-193408 SR in the Treatment of Open-angle Glaucoma or Ocular Hypertension
NCT01122966,The Effect of Bevacizumab on the Trabeculectomy
NCT02772666,Novel Portable Diagnostic Device for Automatic Detection of Relative Afferent Pupillary Defect
NCT00288951,Phase III Safety and Efficacy Study to Evaluate a Glaucoma Therapy in Open-Angle Glaucoma or Ocular Hypertension Patients
NCT03960866,Safety and Efficacy of Ophthalmic Phentolamine Mesylate in Glaucoma
NCT00672048,Partnership for Glaucoma
NCT00465348,The Antioxidant Effect of Routine Vascular Therapy for Normal Tension Glaucoma Patients
NCT03541551,Ologen® Collagen Matrix in Patients With Primary Congenital Glaucoma Undergoing Trabeculectomy
NCT03421548,Implantable Intraocular Pressure Sensor for Glaucoma Monitoring in Patients With Boston Keratoprosthesis Type 1
NCT02410148,aICP in Glaucoma and Papilledema
NCT01484951,AZARGA Transition Study in Taiwan for Patients With Uncontrolled Intraocular Pressure
NCT01481051,A Dose Evaluation Study for the Latanoprost Punctal Plug Delivery System (L-PPDS) in Subjects With Ocular Hypertension or Open-Angle Glaucoma
NCT00347451,Optical Coherence Tomography Imaging of the Posterior Segment in High Myopia.
NCT02770248,24-hr Intraocular Pressure Control With SIMBRINZA ®
NCT00546286,A Study to Evaluate the Effectiveness of Cosopt® as First Line Therapy (MK-0507A-153)
NCT04844619,KDR2-2 Suspension Eyedrop in the Treatment of Neovascular Glaucoma (KDR-NVG) Trial
NCT05821855,A Study to Evaluate Adverse Events and Change in Disease Activity With the XEN45 Glaucoma Treatment System Implantation In Adult Participants With Open-Angle Glaucoma in China
NCT00872651,Travoprost 0.004%/Timolol 0.5% Versus Latanoprost 0.005%/Timolol in Chinese Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT03782051,Combined Viscocanalostomy Phacoemulsification OIogen Implant in Open Angle Glaucoma
NCT05280366,STREAMLINE®SURGICAL SYSTEM Compared to iStent Inject W® in Patients With Open-Angle Glaucoma
NCT00000148,Advanced Glaucoma Intervention Study (AGIS)
NCT05344651,Comparing the Baerveldt and Paul Glaucoma Drainage Devices and Their Effects on the Corneal Endothelium
NCT02250651,Efficacy and Safety of Bimatoprost Sustained-Release (SR) in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT01630551,Omega 3 Supplementation and Ocular Surface Disease in Glaucoma
NCT03293251,Trabeculectomy With MMC and I Stent in Uveitic Glaucoma and POAG : Outcomes and Prognostic Factors
NCT02767219,The Use of Bevacizumab as a Modulator of Wound Healing Following Trabeculectomy Surgery
NCT00649766,Tailored Messages to Increase Eye Examination Behavior
NCT00809848,Safety and Efficacy of AGN 210669 Ophthalmic Solution in Patients With Ocular Hypertension or Primary Open-Angle Glaucoma
NCT05014386,AGV Implantation With Ologen in Pediatric Glaucomas
NCT01055366,ELAZOP Switching Study in Korea
NCT01284166,Safety and Efficacy of Triple Combination Therapy With Dorzolamide Hydrochloride / Brimonidine Tartrate / Timolol Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT00486486,24-hour Intraocular Pressure (IOP) Control With the Bimatoprost/Timolol Fixed Combination
NCT04519619,Study to Learn More About Safety of Aflibercept Injection in Japanese Patients With Neovascular Glaucoma (NVG)
NCT01788319,Micropulse Laser Trabeculoplasty (532nm) Versus Conventional Laser Trabeculoplasty (532nm)
NCT00005919,Cause of Pigment Dispersion Syndrome
NCT01670266,Single and Multiple Dose Escalation and Two-sequence Crossover Study of ONO-9054 in Patients With Ocular Hypertension or Mild Open-angle Glaucoma
NCT02681419,Evaluating the Efficacy of Fenestrations in Tube Shunt Implants During the Early Postoperative Period
NCT05333419,Study of a Latanoprost Ocular Implant for Treatment of Open Angle Glaucoma or Ocular Hypertension.
NCT04445519,Phase 3 Trial of NCX 470 vs. Latanoprost in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT04970251,Aflibercept as Adjunctive Treatment for Filtration Surgery in Neovascular Glaucoma
NCT00326066,A Study of the iStent in Combo With Cataract Surgery in Newly Diagnosed Open Angle Glaucoma or OH Patients.
NCT00804648,Patient Satisfaction With Timolol in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT05175651,Prospective Electronic Polygenic Risk Study - Second Phase
NCT03675412,Caffeine Consumption in Glaucoma Patients and Healthy Subjects
NCT06057051,Glaukos® iStent Infinite Trabecular Micro-Bypass System in Subjects With Mild to Moderate Primary Open-angle Glaucoma
NCT01646151,A Study Comparing IOP-Lowering Treatments to Bimatoprost in Patients With Primary Open Angle Glaucoma or Ocular Hypertension
NCT03325751,Visual Field Defect Estimation Using Sequentially Optimized Reconstruction Strategy on Healthy and Glaucoma Subjects
NCT05127551,Clinical Study of Glaukos® Trabecular Micro-Bypass System Model iS3 Infinite Vs. Competitor
