NCT Number,Study Title,Sex
NCT03094910,Investigation of the Rewarming og the Fingers After Cooling and the Autonomic Nervous System in Raynaud's Phenomenon,ALL
NCT04202510,IOP and Medication Reduction in MIGS Procedures,ALL
NCT00345046,A Comparison of Three Different Formulations of Prednisolone Acetate 1%,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05275738,The Glaucoma Nicotinamide Trial,ALL
NCT05392738,Visual Function and Patient Satisfaction in Glaucoma or Ocular Hypertensive Patients Undergoing Simultaneous Cataract Surgery and i-Stent Implantation,ALL
NCT02279472,Optical Coherence Tomography Quantitative Analysis of Changes in Anterior Chamber After Laser Peripheral Lridotomy,ALL
NCT02865473,Anterior Segment Imaging With Ultrahigh-resolution OCT in Patients With Glaucoma and PEX - a Pilot Study,ALL
NCT05207761,Study to Evaluate Drug-drug Interaction Safety and Tolerability in Case of the Co-administration of D565 and D930,MALE
NCT01667861,Risk Factors for Glaucoma in Musicians,ALL
NCT01206361,Real World Data Study Assessing The Persistency Of Xalacom And The Other Fixed Dose Combination Products Duotrav And Ganfort In The United Kingdom,ALL
NCT04552964,Assessment of the Impact of an add-on and Its Smartphone Application on the Daily Management of Glaucoma,ALL
NCT01068964,Safety and Efficacy of Bimatoprost Timolol Ophthalmic Solution in Patients With Open Angle Glaucoma or Ocular Hypertension,ALL
NCT02825264,STAR-LIFE Registry: STARflo Glaucoma Implant Clinical Experience Program,ALL
NCT01741961,Long Term Outcome After Ahmed Glaucoma Valve,ALL
NCT00802061,Sleep at 30 Degrees in Glaucoma,ALL
NCT01306461,Tafluprost-Timolol Fixed Dose Combination Non-Inferiority Study Against Concomitant Administrations,ALL
NCT00825864,Diclofenac vs Dexamethasone in Combined Surgery,ALL
NCT04647461,Comparison of Efficacy and Ocular Surface Disease Assessment Between BRIDIN-T Eye Drops 0.15% and ALPHAGAN-P Eye Drops 0.15% in Glaucoma or Ocular Hypertensive Patients : Phase 4 Parallel Group Design Investigator-blind Active-control Randomized Multi-center Trial,ALL
NCT00001161,Abnormalities of the Eye's Anterior Chamber Iris Cornea and Lens,ALL
NCT01157364,Safety and Efficacy of a New Ophthalmic Formulation of Bimatoprost in Patients With Open Angle Glaucoma and Ocular Hypertension,ALL
NCT05495061,A Comparative Confirmatory Study of STN1012600 in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension,ALL
NCT01310764,Trabeculectomy With Subconjunctival Bevacizumab Injection,ALL
NCT00853073,Does Adding Bevacizumab Therapy in Glaucoma Surgery Improve the Success of Needle Bleb Revisions?,ALL
NCT04616573,A Post-market Study Of Use Of The OMNI® Surgical System In Open Angle Glaucoma,ALL
NCT02246764,Study of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,ALL
NCT00443664,External Micropulse Diode Laser Transscleral Trabeculoplasty (EMDLT) for Severe Open Angle Glaucoma,ALL
NCT02024464,Comparing Hydrus Microstent(TM) to the iStent for Lowering IOP in Glaucoma Patients Undergoing Cataract Surgery,ALL
NCT04722861,Development of the Glaucoma Visual Functioning Questionnaire-40 and Its Psychometric Properties,ALL
NCT01426464,Intraocular Pressure (IOP) Lowering Efficacy of Transdermal Latanoprost Therapy,ALL
NCT05696561,Clinical Trial to Evaluate the Safety and Effectiveness of a Canaloplasty Device in Subjects With Open-Angle Glaucoma,ALL
NCT03270761,Zhongshan Iridocorneal Endothelial Syndrome Study (ICEs),ALL
NCT02138461,Tolerability of Bimatoprost 0.01% vs Latanoprost Eye Drops,ALL
NCT00971061,Ahmed Glaucoma Valve and Single-Plate Molteno Implants in Treatment of Refractory Glaucoma,ALL
NCT01092273,Bimatoprost Versus Travoprost at Cairo University,ALL
NCT01212861,Surgical Treatment of Refractory Open Angle Glaucoma,ALL
NCT01263561,Prospective Randomized Study Comparing Ex-PRESS to Trabeculectomy,ALL
NCT05289453,Phacoemulsification in Acute Congestive Glaucoma,ALL
NCT04735653,The Support Educate Empower (SEE) Program,ALL
NCT00628173,Results of Different Location of Ahmed Glaucoma Valve Implantation in Refractory Glaucoma Superior Versus Inferior,ALL
NCT01863953,A Safety and Efficacy Study of Fixed-Combination Bimatoprost and Brimonidine in Chronic Glaucoma or Ocular Hypertension,ALL
NCT01994564,Prevalence of Dyschromatopsia in Glaucoma Patients,ALL
NCT01028664,Use of an Ocular Telemetry Sensor in Diamox Treated Patients,ALL
NCT06152861,Travoprost Ophthalmic Topical Cream for Open-angle Glaucoma or Ocular Hypertension,ALL
NCT00811564,An Evaluation of the Fixed Combination Brimonidine Tartrate 0.2%/ Timolol Maleate 0.5% to Latanoprost 0.005% in Glaucoma or Ocular Hypertension Subjects,ALL
NCT04098861,Efficacy and Safety of Latanoprost/Timolol for Primary Open Angle Glaucoma,ALL
NCT01714960,Safety and Tolerability of MRZ-99030 Eye Drops in Healthy Volunteers and Glaucoma Patients,ALL
NCT02796560,Generic Travoprost Versus Brand Name Travoprost in Patients With Primary Open Angle Glaucoma or Ocular Hypertension,ALL
NCT01192061,Autonomic Nervous System Activity and Normal Tension Glaucoma,ALL
NCT01192061,Autonomic Nervous System Activity and Normal Tension Glaucoma,ALL
NCT01192061,Autonomic Nervous System Activity and Normal Tension Glaucoma,ALL
NCT05080153,Effect of Vitamin Supplementation in Glaucoma Patients,ALL
NCT03284853,Safety and Efficacy Study of PG324 (Netarsudil/Latanoprost 0.02% / 0.005%) Ophthalmic Solution Compared to GANFORT® Ophthalmic Solution in Open Angle Glaucoma or Ocular Hypertension,ALL
NCT00519753,Success of Transitioning Uncontrolled Glaucoma Patients From Prior Mono or Adjunctive Therapy to DuoTrav,ALL
NCT01467453,Clinical Application of Sensimed Triggerfish Sensor (TS) With Wireless Signal Transmission for Continuous Intraocular Pressure Measurement,ALL
NCT01814761,A Study of Bimatoprost 0.01% in the Clinical Setting,ALL
NCT05401760,Combined Phacoaspiration and Angle Surgery Versus Phacoaspiration in Pediatric Cataract,ALL
NCT03374553,MINIject 636 in Patients With Open Angle Glaucoma Uncontrolled by Topical Hypotensive Medications,ALL
NCT03966560,Choroidal Thickness and Its Correlations With Ocular Parameters in Primary Open-angle Glaucoma,ALL
NCT04723160,Computer Aided Diagnosis of Multiple Eye Fundus Diseases From Color Fundus Photograph,ALL
NCT04723160,Computer Aided Diagnosis of Multiple Eye Fundus Diseases From Color Fundus Photograph,ALL
NCT02140060,6-Week Proof-of-Concept Study of Travoprost/Brinzolamide Ophthalmic Suspension in Subjects With Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT00763061,Travatan Versus Timoptic in Treating Open-angle Glaucoma or Ocular Hypertension,ALL
NCT00159653,A 12-Week Randomized Double-Masked Parallel Group Comparison Of Evening Dosing With Xalacom In Subjects With Glaucoma,ALL
NCT06077253,Danish Angle Closure Prevention Trial,ALL
NCT04454138,Ab Interno Gelatin Stent With Mitomycin C Using Targeted Supra-tenon's Placement,ALL
NCT01059162,Evaluation of OT-135P (IOPtiMateTM) : Beam Manipulating System for CO2 Laser Assisted Non-Penetrating Glaucoma Surgery,ALL
NCT06017362,Clinical Trial To Determine The Efficacy And Safety Of Insulin Eye Drops In Dry Eye In Patients With Topical Hypotensors,ALL
NCT04202562,Efficacy and Safety of ab Interno Trabeculectomy With the Kahook Dual Blade,ALL
NCT04437446,OCT Angiography in the Glaucoma Diagnosis,ALL
NCT03752710,Biometry of Occult Lens Subluxation Misdiagnosed as Primary Acute Angle Closed Glaucoma,ALL
NCT00578110,Instrument for Glaucoma Early Detection and Monitoring,ALL
NCT00578110,Instrument for Glaucoma Early Detection and Monitoring,ALL
NCT00578110,Instrument for Glaucoma Early Detection and Monitoring,ALL
NCT02051946,Novel Drug Delivery Technique Via Retroject Device,ALL
NCT02371746,Safety and Efficacy of ENV515 Travoprost Extended Release (XR) in Patients With Bilateral Ocular Hypertension or Primary Open Angle Glaucoma,ALL
NCT00545064,Dry Eye Study With Cosopt® Over 8 Weeks in Patients With Open-Angle Glaucoma or Ocular Hypertension (0507A-152)(COMPLETED),ALL
NCT00283764,Safety And Efficacy Of Xalatan Delivered Using Either A Conventional Dropper Bottle or A Delivery Device,ALL
NCT04274764,Screening and Intervention for Glaucoma and Eye Health Through Telemedicine,ALL
NCT04476810,Long Term Outcome of Combined Phacoemulsification and Excisional Goniotomy With the Kahook Dual Blade,ALL
NCT01194310,Phaco vs. Phaco-ELT vs. Phaco-Trabectome 12m,ALL
NCT00293761,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT04317573,Effect on the Adherence to Glaucoma Eye Drops by Improving Patient Understanding and Using a Tele-reminder System,ALL
NCT02565173,Study of Trabodenoson in Adults With Ocular Hypertension or Primary Open-angle Glaucoma,ALL
NCT01404364,Use of Intravitreal Triamcinolone and Retrobulbar Chlorpromazine as Alternatives to the Management of Painful Blind Eye,ALL
NCT04334564,Effect of Ginkgo Biloba Capsule on Visual Function of Primary Open-angle Glaucoma With Blood Stasis Syndrome,ALL
NCT03323164,Peripapillary Blood Flow After Use of Anti-glaucoma Medications: An OCT Angiography Study,ALL
NCT00947661,Efficacy and Safety of SPARC0912 and Reference0912 in Open Angle Glaucoma or Ocular Hypertension,ALL
NCT01304264,Intraocular Pressure Blood Pressure Ocular Perfusion and Blood Flow Fluctuations in Glaucoma Patients,ALL
NCT01304264,Intraocular Pressure Blood Pressure Ocular Perfusion and Blood Flow Fluctuations in Glaucoma Patients,ALL
NCT04155164,Effect of Metformin on Visual Function in Patients With Glaucoma,ALL
NCT01652664,Study of Travoprost Ophthalmic Solution 0.004% Compared to Timolol (0.5% or 0.25%) in Pediatric Glaucoma Patients,ALL
NCT02114073,Comparison of Effect of Postoperative Cyclosporine A 2% Ophthalmic Emulsion and Betamethasone Eye Drop on Surgical Success of Trabeculectomy Procedure,ALL
NCT01791673,Circular Cyclocoagulation Using HIFU With EYEOP1 Device in Glaucoma Patients,ALL
NCT00815373,The Effects of Cosopt® Vs Xalacom® on Ocular Hemodynamics and Intraocular Pressure (IOP) in Primary Open-angle Glaucoma (POAG),ALL
NCT00470964,Titanium-Sapphire Laser Trabeculoplasty in Glaucoma: A Randomized Study Comparing Titanium-Sapphire With Argon Laser Trabeculoplasty in Open-Angle Glaucoma Patients,ALL
NCT04736264,Malay Glaucoma Eye Study II Navigation Mobility and Reading Ability in Primary Glaucoma,ALL
NCT04736264,Malay Glaucoma Eye Study II Navigation Mobility and Reading Ability in Primary Glaucoma,ALL
NCT04465864,Investigate Following Cataract Surgery With IOL in Conjunction With Intracanalicular Dexamethasone Insert,ALL
NCT01699464,A Study Assessing the Safety and Ocular Hypotensive Efficacy of AR-12286 in Patients With Elevated Intraocular Pressure for 3 Months,ALL
NCT02636946,A Comparison of Bimatoprost SR to Selective Laser Trabeculoplasty in Patients With Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT01542710,Bimatoprost/Timolol Versus Travoprost/Timolol,ALL
NCT03318510,LSFG in Patients With Normal Tension Glaucoma Tension Glaucoma,ALL
NCT01589510,A Study of Lumigan® 0.01% in Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT),ALL
NCT04912362,The Effectiveness of YAG Iridotomy in Preventing Peripheral Anterior Synechia After CLASS in Primary Open Angle Glaucoma,ALL
NCT01229462,Safety and Efficacy of Brimonidine Tartrate/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension,ALL
NCT02981446,A Phase III Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution Compared With Latanoprost Ophthalmic Solution in Subjects With OAG or OHT,ALL
NCT05181046,Evaluation of Nanodropper-mediated Microdrops vs. Standard Drops of 0.5% Timolol Maleate in Glaucoma Patients,ALL
NCT03891446,Long-term Safety and Efficacy Extension Trial of Bimatoprost SR,ALL
NCT02544646,Changes in Ocular Rigidity After Trabeculectomy in Patients With POAG,ALL
NCT03808688,Study of Rhopressa® for the Reduction of Elevated Intraocular Pressure in Patients With Glaucoma or Ocular Hypertension in a Real-world Setting,ALL
NCT01068938,Comparison of Visual Fields: Humphrey Field Analyzer (HFA) SITA Strategy SCOPE (GATE Strategy) and Humphrey MATRIX Perimeter,ALL
NCT03310788,Monitoring of the IOP After SLT Using iCare Home,ALL
NCT00727038,Lucentis for New Onset Neovascular Glaucoma,ALL
NCT00844389,Near to Infrared (NIR) Light Neuroprotection in Glaucomatous Optic Neuropathy,ALL
NCT01401088,Evaluation of Safety and Efficacy of Glaucoma Shunt (Aurolab Artificial Drainage Implant) in Refractory Glaucoma,ALL
NCT01467388,Efficacy of Selective Laser Trabeculoplasty in Pseudophakic Patients,ALL
NCT01252888,Prospective Evaluation of Open-angle Glaucoma Subjects on Two Topical Hypotensive Medication Treated With Two iStents,ALL
NCT04891588,Switching From the Preserved to the Preservative - Free Latanoprost - Timolol FC in Glaucoma Patients With OSD,ALL
NCT01841450,Multicenter Post-Approval Study Of The Glaukos® iStent® Trabecular Micro-Bypass Stent System In Conjunction With Cataract Surgery,ALL
NCT00811850,Comparing Effects of Two Fixed Combinations Ophthalmic Solutions on Ocular Blood Flow,ALL
NCT03067415,Exploratory Trial to Evaluate the Efficacy and Safety of D565H Twice Daily Versus D565 Once Daily,ALL
NCT04188015,Study of ANX007 in Participants With Primary Open-angle Glaucoma,ALL
NCT02085850,Incidence and Progression of Glaucoma in the Tema Eye Survey Cohort,ALL
NCT05484050,VEGF in Iris Tissue in Primary Congenital Glaucoma,ALL
NCT02537015,An Open-label Extension Study to Evaluate the Safety of the 13 mg Bimatoprost Ocular Insert,ALL
NCT05797350,Paul Glaucoma Implant Versus Ahmed Glaucoma Valve in Childhood Glaucoma,ALL
NCT01253902,Ocular Surface Tolerability Study of Prostaglandin Analogues in Patients With Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT05201378,Deep Sclerectomy vs Xen in Solo Procedure,ALL
NCT01084902,Efficacy Comparison of Xalatan and Azopt on POAG and OH,ALL
NCT04011878,Histopathological Examination of Iris Tissue in Buphthalmos,ALL
NCT02209077,Spectralis OCT Repeatability and Reproducibility Study,ALL
NCT02622178,How Accurately Does the Diopsys Visual Evoked Potential (VEP) Vision Testing System Detect Glaucoma?,ALL
NCT00572455,Safety and Efficacy of PF-04217329 in Patients With Glaucoma or Elevated Eye Pressure.,ALL
NCT02571712,Safety of GANFORT® Ophthalmic Solution in Chinese Patients With Open-angle Glaucoma or Ocular Hypertension,ALL
NCT01997255,Adjunctive Everolimus (RAD 001) Therapy for Epilepsy in Children With Sturge-Weber Syndrome (SWS),ALL
NCT01453855,Travoprost 3-Month Safety and Efficacy Study,ALL
NCT01027312,Assessment of Ability Related to Vision,ALL
NCT04683055,Phaco-Trabeculotomy Vs Phaco-Trabeculectomy,ALL
NCT01881425,InnFocus MicroShunt Versus Trabeculectomy Study,ALL
NCT01495312,24-hr Intraocular Pressure (IOP) Patterns of Glaucoma Patients After Selective Laser Trabeculoplasty (SLT),ALL
NCT00595855,A Comparison Between Deep Sclerectomy and Trabeculectomy,ALL
NCT02001155,Comparing the Effect of the Water Drinking Test on Intraocular Pressure,ALL
NCT04484155,Minimally Invasive Micro Sclerostomy: Safety and Preliminary Performance Study,ALL
NCT00051155,A 6-Week Safety and Efficacy Study of Travatan Compared to Xalcom in Subjects With Open-Angle Glaucoma(OAG) or Ocular Hypertension(OHT),ALL
NCT05230355,Comparison Between Two Techniques of Subthreshold Diode Laser Cyclophotocoagulation in Refractory Glaucoma,ALL
NCT01487655,Waveform Analysis of the Doppler Curve of Ophthalmic Arteries in Glaucoma Patients,ALL
NCT00442312,Combigan Ophthalmic Solution(Brimonidine 0.2% and Timolol 0.5%)With Latanoprost Compared With Latanoprost Monotherapy,ALL
NCT01592955,Glaucoma Treatment by Cyclo-coagulation Using High Intensity Focused Ultrasound (HIFU),ALL
NCT02691455,The American Glaucoma Society (AGS) Second Aqueous Shunt Implant vs. Transscleral Cyclophotocoagulation Treatment Study (ASSISTS),ALL
NCT00273455,Lumigan Versus Cosopt,ALL
NCT03760055,Assessment of Visual Function With a Portable Brain-computer Interface,ALL
NCT03760055,Assessment of Visual Function With a Portable Brain-computer Interface,ALL
NCT05127525,EffiCacy Safety and ToLErability of a Novel Ocular ANtiseptic for Ocular Use (CLEAN),ALL
NCT01425112,Comparison of Subconjuctival Versus Topical Bevacizumab as Adjunct Therapy to Trabeculectomy,ALL
NCT04949555,Long Term Evaluation of Primary Congenital Glaucoma Management in Sohag University Hospital,ALL
NCT03736655,Study of a Novel Interposition Supraciliary Implant in Patients With Open Angle Glaucoma,ALL
NCT03154892,The Effect of Conbercept Injection Through Different Routes for Neovascular Glaucoma,ALL
NCT01156012,Efficacy and Safety Assessment of T2345 in Ocular Hypertensive or Glaucomatous Patients,ALL
NCT00571012,Aqueous Outflow Facility Changes With Posture,ALL
NCT02157025,A More Engaging Visual Field Test to Increase Use and Reliability in Pediatrics,ALL
NCT01383525,Direct Application of Selective Laser Trabeculoplasty in Open Angle Glaucoma,ALL
NCT01179555,Confronting Unequal Eye Care in Pennsylvania,ALL
NCT01179555,Confronting Unequal Eye Care in Pennsylvania,ALL
NCT01828255,Intraocular Pressure (IOP) Patterns in Fast Versus Slow Visual Field (VF) Progression Patients,ALL
NCT00333125,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT03761992,Measurement of the Effect of Gingko Biloba Extract on Ocular and Nailfold Blood-flow in NTG,ALL
NCT01937312,Effect of SIMBRINZA® Suspension as an Added Therapy to a Prostaglandin Analogue,ALL
NCT00822055,Comparison of the Fixed Combinations of Brimonidine/Timolol and Dorzolamide/Timolol in Subjects With Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT02376725,Comparing Phaco/IOL Versus Phaco/IOL + Goniosynechialysis in Subjects With PACG,ALL
NCT02376725,Comparing Phaco/IOL Versus Phaco/IOL + Goniosynechialysis in Subjects With PACG,ALL
NCT01544192,Impact of Oral Versatile Antioxidants on Glaucoma Progression,ALL
NCT01753492,Trabeculectomy With Ologen,ALL
NCT02434692,Safety and Performance Study of the ARGOS-IO (Intraocular) System in Patients With Primary Open Angle Glaucoma (POAG),ALL
NCT00941525,Central Corneal Thickness and 24-hour Fluctuation of Intraocular Pressure,ALL
NCT04335825,Surgical and Refractive Outcomes of Combined Glaucoma Surgery,ALL
NCT00313092,Obstructive Sleep Apnea Syndrome in Glaucoma,ALL
NCT00000122,Fluorouracil Filtering Surgery Study (FFSS),ALL
NCT03646500,Comparing Conscious Sedation to Retrobulbar Block Anesthetics During Trans-scleral Diode Laser,ALL
NCT05968547,Evaluation of Patients' Requirements for Improved Advice and Guidance on Vision Standards for Driving in Glaucoma,ALL
NCT01485822,A Multicenter Study of the Pigmentation in the Trabecular Meshwork After Two Years of Treatment With TRAVATAN 0.004% Ophthalmic Solution,ALL
NCT03690622,Effect of Topical Dexmedetomidine on Intraocular Pressure,ALL
NCT00695747,Intraocular Pressure Control Following One Site Versus Two Site Combined Phacoemulsification/IOL And Trabeculectomy,ALL
NCT01938287,SENSIMED Triggerfish in Closed Eyes,ALL
NCT04321122,UCP (Ultrasound Cyclo Plasty) in the Treatment of Chinese Patients With Primary Open-angle Glaucoma,ALL
NCT00991822,A Comparison of the Effect of Dorzolamide and Timolol on Optic Disk Blood Flow in Patients With Open Angle Glaucoma,ALL
NCT00430287,Does the Optic Disc Grading Done Visually by Your Doctor Agree With Optic Nerve Testing Which is Done by Machines?,ALL
NCT00906087,Effect of Myocilin Genetic Variants on Intraocular Pressure and Pressure Variation in Sitting and Supine Positions,ALL
NCT04639947,Reliability and Reproducibility of the Eye Check Tonometer,ALL
NCT01004900,Intraocular Pressure (IOP) Lowering Effect of Selective Laser Trabeculoplasty Versus Prostaglandin Analogues in Angle Closure Glaucoma,ALL
NCT05335122,A Study to Evaluate the Efficacy and Safety of OTX-TIC (Travoprost) Intracameral Implant for Patients With Open-angle Glaucoma (OAG) or Ocular Hypertension (OHT),ALL
NCT00293787,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT03204487,A Study on the Effect of Changing From Preserved Prostaglandin Formulations to Preservative Free Tafluprost on Tear Film Thickness,ALL
NCT05892185,Evaluate the Efficacy and Safety of Glaucoma Implant in Primary Open Angle Glaucoma,ALL
NCT04949347,Glycerin-Preserved Human-Donor Corneoscleral Patch Grafts for Glaucoma Drainage Devices,ALL
NCT03996200,MINIject in Patients With Open Angle Glaucoma Using Single Operator Delivery Tool,ALL
NCT00454922,Effect of Glaucoma Educators on Adherence to Prescribed Therapeutic Regimens in Glaucoma Patients,ALL
NCT02003547,A Single Centre Study to Evaluate 3 Ophthalmic Formulations in Healthy Subjects,ALL
NCT05366647,GATT Versus Canaloplasty (GVC),ALL
NCT01391247,Validation of Retinal Oximetry in Glaucoma Patients: a Structural and Functional Correlation,ALL
NCT00744666,IntraVitreal Triamcinolone Acetonide: Preventing Raised Eye-pressure by Tracking Elevations After Topical Steroids,ALL
NCT01704248,The Effect of Eye Drop Guide on the Success Rate of Eye Drops Self-instillation in Glaucoma Patients,ALL
NCT01372319,Assessment of Advanced Glaucomatous Visual Field Loss and Its Impact on Visual Exploration Activities of Daily Living (ADL) and Quality of Life (QoL),ALL
NCT02438319,Automatic vs. Manual Optic Disc Planimetry,ALL
NCT03166566,Laminar Drainage Implant: Safety of a Novel Surgical Treatment for Refractory Glaucoma.,ALL
NCT00383019,A Study Comparing Xalacom And Xalatan In Patients With Primary Open Angle Glaucoma (POAG) Or Ocular Hypertension (OH).,ALL
NCT01742819,Advanced Glaucoma Progression Study,ALL
NCT05529966,Comparing NGENUITY vs Conventional Microscope in a New Hydrus User,ALL
NCT01345448,Intraocular Pressure (IOP) Lowering Efficacy of Transdermal Brimonidine Therapy,ALL
NCT02030886,IOP Patterns in Ocular Hypertensive Patients Newly Converted to Glaucoma vs Stable Ocular Hypertensive Patients,ALL
NCT01265719,Long-Term Non-Interventional Latanoprost Study,ALL
NCT02097719,Efficacy and Safety Study of Bimatoprost 0.01% Alone Compared With Travoprost 0.004% and Timolol 0.5% in Subjects With Glaucoma or Ocular Hypertension,ALL
NCT01645319,Comparative Effectiveness of Treatment Strategies for Primary Open-Angle Glaucoma,ALL
NCT01645319,Comparative Effectiveness of Treatment Strategies for Primary Open-Angle Glaucoma,ALL
NCT04872348,An Observational Multicenter Clinical Study To Assess The Safety And Effectiveness Of The OMNI® Surgical System In Pseudophakic Eyes With Primary Open Angle Glaucoma (ORION 2.0),ALL
NCT04903366,Absorption and Safety of Topical Timolol to Treat Chronic Wounds,ALL
NCT04981886,Intraocular Pressure Reduction Efficacy of Rhopressa and Lumigan in Normal Tension Glaucoma,ALL
NCT04499248,AGN-193408 SR in the Treatment of Open-angle Glaucoma or Ocular Hypertension,ALL
NCT01122966,The Effect of Bevacizumab on the Trabeculectomy,ALL
NCT02772666,Novel Portable Diagnostic Device for Automatic Detection of Relative Afferent Pupillary Defect,ALL
NCT00288951,Phase III Safety and Efficacy Study to Evaluate a Glaucoma Therapy in Open-Angle Glaucoma or Ocular Hypertension Patients,ALL
NCT03960866,Safety and Efficacy of Ophthalmic Phentolamine Mesylate in Glaucoma,ALL
NCT00672048,Partnership for Glaucoma,ALL
NCT00465348,The Antioxidant Effect of Routine Vascular Therapy for Normal Tension Glaucoma Patients,ALL
NCT03541551,Ologen® Collagen Matrix in Patients With Primary Congenital Glaucoma Undergoing Trabeculectomy,ALL
NCT03421548,Implantable Intraocular Pressure Sensor for Glaucoma Monitoring in Patients With Boston Keratoprosthesis Type 1,ALL
NCT02410148,aICP in Glaucoma and Papilledema,ALL
NCT01484951,AZARGA Transition Study in Taiwan for Patients With Uncontrolled Intraocular Pressure,ALL
NCT01481051,A Dose Evaluation Study for the Latanoprost Punctal Plug Delivery System (L-PPDS) in Subjects With Ocular Hypertension or Open-Angle Glaucoma,ALL
NCT00347451,Optical Coherence Tomography Imaging of the Posterior Segment in High Myopia.,ALL
NCT02770248,24-hr Intraocular Pressure Control With SIMBRINZA ®,ALL
NCT00546286,A Study to Evaluate the Effectiveness of Cosopt® as First Line Therapy (MK-0507A-153),ALL
