NCT Number,Study Title,Study URL,Study_Status,Study Type
NCT03270761,Zhongshan Iridocorneal Endothelial Syndrome Study (ICEs),https://clinicaltrials.gov/study/NCT03270761,COMPLETED,OBSERVATIONAL
NCT02138461,Tolerability of Bimatoprost 0.01% vs Latanoprost Eye Drops,https://clinicaltrials.gov/study/NCT02138461,COMPLETED,OBSERVATIONAL
NCT00971061,Ahmed Glaucoma Valve and Single-Plate Molteno Implants in Treatment of Refractory Glaucoma,https://clinicaltrials.gov/study/NCT00971061,COMPLETED,INTERVENTIONAL
NCT01092273,Bimatoprost Versus Travoprost at Cairo University,https://clinicaltrials.gov/study/NCT01092273,COMPLETED,OBSERVATIONAL
NCT01212861,Surgical Treatment of Refractory Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT01212861,COMPLETED,INTERVENTIONAL
NCT01263561,Prospective Randomized Study Comparing Ex-PRESS to Trabeculectomy,https://clinicaltrials.gov/study/NCT01263561,COMPLETED,INTERVENTIONAL
NCT05289453,Phacoemulsification in Acute Congestive Glaucoma,https://clinicaltrials.gov/study/NCT05289453,RECRUITING,INTERVENTIONAL
NCT04735653,The Support Educate Empower (SEE) Program,https://clinicaltrials.gov/study/NCT04735653,RECRUITING,INTERVENTIONAL
NCT00628173,Results of Different Location of Ahmed Glaucoma Valve Implantation in Refractory Glaucoma Superior Versus Inferior,https://clinicaltrials.gov/study/NCT00628173,COMPLETED,INTERVENTIONAL
NCT01863953,A Safety and Efficacy Study of Fixed-Combination Bimatoprost and Brimonidine in Chronic Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT01863953,COMPLETED,INTERVENTIONAL
NCT01994564,Prevalence of Dyschromatopsia in Glaucoma Patients,https://clinicaltrials.gov/study/NCT01994564,WITHDRAWN,OBSERVATIONAL
NCT01028664,Use of an Ocular Telemetry Sensor in Diamox Treated Patients,https://clinicaltrials.gov/study/NCT01028664,COMPLETED,INTERVENTIONAL
NCT06152861,Travoprost Ophthalmic Topical Cream for Open-angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT06152861,RECRUITING,INTERVENTIONAL
NCT00811564,An Evaluation of the Fixed Combination Brimonidine Tartrate 0.2%/ Timolol Maleate 0.5% to Latanoprost 0.005% in Glaucoma or Ocular Hypertension Subjects,https://clinicaltrials.gov/study/NCT00811564,COMPLETED,INTERVENTIONAL
NCT04098861,Efficacy and Safety of Latanoprost/Timolol for Primary Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT04098861,UNKNOWN,INTERVENTIONAL
NCT01714960,Safety and Tolerability of MRZ-99030 Eye Drops in Healthy Volunteers and Glaucoma Patients,https://clinicaltrials.gov/study/NCT01714960,COMPLETED,INTERVENTIONAL
NCT02796560,Generic Travoprost Versus Brand Name Travoprost in Patients With Primary Open Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT02796560,COMPLETED,INTERVENTIONAL
NCT01192061,Autonomic Nervous System Activity and Normal Tension Glaucoma,https://clinicaltrials.gov/study/NCT01192061,COMPLETED,OBSERVATIONAL
NCT01192061,Autonomic Nervous System Activity and Normal Tension Glaucoma,https://clinicaltrials.gov/study/NCT01192061,COMPLETED,OBSERVATIONAL
NCT01192061,Autonomic Nervous System Activity and Normal Tension Glaucoma,https://clinicaltrials.gov/study/NCT01192061,COMPLETED,OBSERVATIONAL
NCT05080153,Effect of Vitamin Supplementation in Glaucoma Patients,https://clinicaltrials.gov/study/NCT05080153,COMPLETED,OBSERVATIONAL
NCT03284853,Safety and Efficacy Study of PG324 (Netarsudil/Latanoprost 0.02% / 0.005%) Ophthalmic Solution Compared to GANFORT® Ophthalmic Solution in Open Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT03284853,COMPLETED,INTERVENTIONAL
NCT00519753,Success of Transitioning Uncontrolled Glaucoma Patients From Prior Mono or Adjunctive Therapy to DuoTrav,https://clinicaltrials.gov/study/NCT00519753,COMPLETED,INTERVENTIONAL
NCT01467453,Clinical Application of Sensimed Triggerfish Sensor (TS) With Wireless Signal Transmission for Continuous Intraocular Pressure Measurement,https://clinicaltrials.gov/study/NCT01467453,UNKNOWN,OBSERVATIONAL
NCT01814761,A Study of Bimatoprost 0.01% in the Clinical Setting,https://clinicaltrials.gov/study/NCT01814761,COMPLETED,OBSERVATIONAL
NCT05401760,Combined Phacoaspiration and Angle Surgery Versus Phacoaspiration in Pediatric Cataract,https://clinicaltrials.gov/study/NCT05401760,ENROLLING_BY_INVITATION,INTERVENTIONAL
NCT03374553,MINIject 636 in Patients With Open Angle Glaucoma Uncontrolled by Topical Hypotensive Medications,https://clinicaltrials.gov/study/NCT03374553,COMPLETED,INTERVENTIONAL
NCT03966560,Choroidal Thickness and Its Correlations With Ocular Parameters in Primary Open-angle Glaucoma,https://clinicaltrials.gov/study/NCT03966560,COMPLETED,INTERVENTIONAL
NCT04723160,Computer Aided Diagnosis of Multiple Eye Fundus Diseases From Color Fundus Photograph,https://clinicaltrials.gov/study/NCT04723160,COMPLETED,OBSERVATIONAL
NCT04723160,Computer Aided Diagnosis of Multiple Eye Fundus Diseases From Color Fundus Photograph,https://clinicaltrials.gov/study/NCT04723160,COMPLETED,OBSERVATIONAL
NCT02140060,6-Week Proof-of-Concept Study of Travoprost/Brinzolamide Ophthalmic Suspension in Subjects With Open-Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT02140060,COMPLETED,INTERVENTIONAL
NCT00763061,Travatan Versus Timoptic in Treating Open-angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT00763061,COMPLETED,INTERVENTIONAL
NCT00159653,A 12-Week Randomized Double-Masked Parallel Group Comparison Of Evening Dosing With Xalacom In Subjects With Glaucoma,https://clinicaltrials.gov/study/NCT00159653,COMPLETED,INTERVENTIONAL
NCT06077253,Danish Angle Closure Prevention Trial,https://clinicaltrials.gov/study/NCT06077253,RECRUITING,INTERVENTIONAL
NCT04454138,Ab Interno Gelatin Stent With Mitomycin C Using Targeted Supra-tenon's Placement,https://clinicaltrials.gov/study/NCT04454138,COMPLETED,OBSERVATIONAL
NCT01059162,Evaluation of OT-135P (IOPtiMateTM) : Beam Manipulating System for CO2 Laser Assisted Non-Penetrating Glaucoma Surgery,https://clinicaltrials.gov/study/NCT01059162,UNKNOWN,INTERVENTIONAL
NCT06017362,Clinical Trial To Determine The Efficacy And Safety Of Insulin Eye Drops In Dry Eye In Patients With Topical Hypotensors,https://clinicaltrials.gov/study/NCT06017362,RECRUITING,INTERVENTIONAL
NCT04202562,Efficacy and Safety of ab Interno Trabeculectomy With the Kahook Dual Blade,https://clinicaltrials.gov/study/NCT04202562,COMPLETED,INTERVENTIONAL
NCT04437446,OCT Angiography in the Glaucoma Diagnosis,https://clinicaltrials.gov/study/NCT04437446,ACTIVE_NOT_RECRUITING,INTERVENTIONAL
NCT03752710,Biometry of Occult Lens Subluxation Misdiagnosed as Primary Acute Angle Closed Glaucoma,https://clinicaltrials.gov/study/NCT03752710,COMPLETED,OBSERVATIONAL
NCT00578110,Instrument for Glaucoma Early Detection and Monitoring,https://clinicaltrials.gov/study/NCT00578110,UNKNOWN,INTERVENTIONAL
NCT00578110,Instrument for Glaucoma Early Detection and Monitoring,https://clinicaltrials.gov/study/NCT00578110,UNKNOWN,INTERVENTIONAL
NCT00578110,Instrument for Glaucoma Early Detection and Monitoring,https://clinicaltrials.gov/study/NCT00578110,UNKNOWN,INTERVENTIONAL
NCT02051946,Novel Drug Delivery Technique Via Retroject Device,https://clinicaltrials.gov/study/NCT02051946,COMPLETED,INTERVENTIONAL
NCT02371746,Safety and Efficacy of ENV515 Travoprost Extended Release (XR) in Patients With Bilateral Ocular Hypertension or Primary Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT02371746,COMPLETED,INTERVENTIONAL
NCT00545064,Dry Eye Study With Cosopt® Over 8 Weeks in Patients With Open-Angle Glaucoma or Ocular Hypertension (0507A-152)(COMPLETED),https://clinicaltrials.gov/study/NCT00545064,COMPLETED,INTERVENTIONAL
NCT00283764,Safety And Efficacy Of Xalatan Delivered Using Either A Conventional Dropper Bottle or A Delivery Device,https://clinicaltrials.gov/study/NCT00283764,WITHDRAWN,INTERVENTIONAL
NCT04274764,Screening and Intervention for Glaucoma and Eye Health Through Telemedicine,https://clinicaltrials.gov/study/NCT04274764,RECRUITING,INTERVENTIONAL
NCT04476810,Long Term Outcome of Combined Phacoemulsification and Excisional Goniotomy With the Kahook Dual Blade,https://clinicaltrials.gov/study/NCT04476810,COMPLETED,INTERVENTIONAL
NCT01194310,Phaco vs. Phaco-ELT vs. Phaco-Trabectome 12m,https://clinicaltrials.gov/study/NCT01194310,COMPLETED,OBSERVATIONAL
NCT00293761,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT00293761,COMPLETED,INTERVENTIONAL
NCT04317573,Effect on the Adherence to Glaucoma Eye Drops by Improving Patient Understanding and Using a Tele-reminder System,https://clinicaltrials.gov/study/NCT04317573,COMPLETED,INTERVENTIONAL
NCT02565173,Study of Trabodenoson in Adults With Ocular Hypertension or Primary Open-angle Glaucoma,https://clinicaltrials.gov/study/NCT02565173,COMPLETED,INTERVENTIONAL
NCT01404364,Use of Intravitreal Triamcinolone and Retrobulbar Chlorpromazine as Alternatives to the Management of Painful Blind Eye,https://clinicaltrials.gov/study/NCT01404364,COMPLETED,INTERVENTIONAL
NCT04334564,Effect of Ginkgo Biloba Capsule on Visual Function of Primary Open-angle Glaucoma With Blood Stasis Syndrome,https://clinicaltrials.gov/study/NCT04334564,UNKNOWN,INTERVENTIONAL
NCT03323164,Peripapillary Blood Flow After Use of Anti-glaucoma Medications: An OCT Angiography Study,https://clinicaltrials.gov/study/NCT03323164,COMPLETED,INTERVENTIONAL
NCT00947661,Efficacy and Safety of SPARC0912 and Reference0912 in Open Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT00947661,COMPLETED,INTERVENTIONAL
NCT01304264,Intraocular Pressure Blood Pressure Ocular Perfusion and Blood Flow Fluctuations in Glaucoma Patients,https://clinicaltrials.gov/study/NCT01304264,COMPLETED,OBSERVATIONAL
NCT01304264,Intraocular Pressure Blood Pressure Ocular Perfusion and Blood Flow Fluctuations in Glaucoma Patients,https://clinicaltrials.gov/study/NCT01304264,COMPLETED,OBSERVATIONAL
NCT04155164,Effect of Metformin on Visual Function in Patients With Glaucoma,https://clinicaltrials.gov/study/NCT04155164,RECRUITING,INTERVENTIONAL
NCT01652664,Study of Travoprost Ophthalmic Solution 0.004% Compared to Timolol (0.5% or 0.25%) in Pediatric Glaucoma Patients,https://clinicaltrials.gov/study/NCT01652664,COMPLETED,INTERVENTIONAL
NCT02114073,Comparison of Effect of Postoperative Cyclosporine A 2% Ophthalmic Emulsion and Betamethasone Eye Drop on Surgical Success of Trabeculectomy Procedure,https://clinicaltrials.gov/study/NCT02114073,COMPLETED,INTERVENTIONAL
NCT01791673,Circular Cyclocoagulation Using HIFU With EYEOP1 Device in Glaucoma Patients,https://clinicaltrials.gov/study/NCT01791673,COMPLETED,INTERVENTIONAL
NCT00815373,The Effects of Cosopt® Vs Xalacom® on Ocular Hemodynamics and Intraocular Pressure (IOP) in Primary Open-angle Glaucoma (POAG),https://clinicaltrials.gov/study/NCT00815373,WITHDRAWN,INTERVENTIONAL
NCT00470964,Titanium-Sapphire Laser Trabeculoplasty in Glaucoma: A Randomized Study Comparing Titanium-Sapphire With Argon Laser Trabeculoplasty in Open-Angle Glaucoma Patients,https://clinicaltrials.gov/study/NCT00470964,COMPLETED,INTERVENTIONAL
NCT04736264,Malay Glaucoma Eye Study II Navigation Mobility and Reading Ability in Primary Glaucoma,https://clinicaltrials.gov/study/NCT04736264,RECRUITING,INTERVENTIONAL
NCT04736264,Malay Glaucoma Eye Study II Navigation Mobility and Reading Ability in Primary Glaucoma,https://clinicaltrials.gov/study/NCT04736264,RECRUITING,INTERVENTIONAL
NCT04465864,Investigate Following Cataract Surgery With IOL in Conjunction With Intracanalicular Dexamethasone Insert,https://clinicaltrials.gov/study/NCT04465864,COMPLETED,INTERVENTIONAL
NCT01699464,A Study Assessing the Safety and Ocular Hypotensive Efficacy of AR-12286 in Patients With Elevated Intraocular Pressure for 3 Months,https://clinicaltrials.gov/study/NCT01699464,COMPLETED,INTERVENTIONAL
NCT02636946,A Comparison of Bimatoprost SR to Selective Laser Trabeculoplasty in Patients With Open-Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT02636946,COMPLETED,INTERVENTIONAL
NCT01542710,Bimatoprost/Timolol Versus Travoprost/Timolol,https://clinicaltrials.gov/study/NCT01542710,COMPLETED,INTERVENTIONAL
NCT03318510,LSFG in Patients With Normal Tension Glaucoma Tension Glaucoma,https://clinicaltrials.gov/study/NCT03318510,UNKNOWN,INTERVENTIONAL
NCT01589510,A Study of Lumigan® 0.01% in Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT),https://clinicaltrials.gov/study/NCT01589510,COMPLETED,OBSERVATIONAL
NCT04912362,The Effectiveness of YAG Iridotomy in Preventing Peripheral Anterior Synechia After CLASS in Primary Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT04912362,UNKNOWN,INTERVENTIONAL
NCT01229462,Safety and Efficacy of Brimonidine Tartrate/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT01229462,COMPLETED,INTERVENTIONAL
NCT02981446,A Phase III Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution Compared With Latanoprost Ophthalmic Solution in Subjects With OAG or OHT,https://clinicaltrials.gov/study/NCT02981446,COMPLETED,INTERVENTIONAL
NCT05181046,Evaluation of Nanodropper-mediated Microdrops vs. Standard Drops of 0.5% Timolol Maleate in Glaucoma Patients,https://clinicaltrials.gov/study/NCT05181046,COMPLETED,INTERVENTIONAL
NCT03891446,Long-term Safety and Efficacy Extension Trial of Bimatoprost SR,https://clinicaltrials.gov/study/NCT03891446,ENROLLING_BY_INVITATION,INTERVENTIONAL
NCT02544646,Changes in Ocular Rigidity After Trabeculectomy in Patients With POAG,https://clinicaltrials.gov/study/NCT02544646,COMPLETED,INTERVENTIONAL
NCT03808688,Study of Rhopressa® for the Reduction of Elevated Intraocular Pressure in Patients With Glaucoma or Ocular Hypertension in a Real-world Setting,https://clinicaltrials.gov/study/NCT03808688,COMPLETED,INTERVENTIONAL
NCT01068938,Comparison of Visual Fields: Humphrey Field Analyzer (HFA) SITA Strategy SCOPE (GATE Strategy) and Humphrey MATRIX Perimeter,https://clinicaltrials.gov/study/NCT01068938,UNKNOWN,OBSERVATIONAL
NCT03310788,Monitoring of the IOP After SLT Using iCare Home,https://clinicaltrials.gov/study/NCT03310788,UNKNOWN,OBSERVATIONAL
NCT00727038,Lucentis for New Onset Neovascular Glaucoma,https://clinicaltrials.gov/study/NCT00727038,WITHDRAWN,INTERVENTIONAL
NCT00844389,Near to Infrared (NIR) Light Neuroprotection in Glaucomatous Optic Neuropathy,https://clinicaltrials.gov/study/NCT00844389,UNKNOWN,INTERVENTIONAL
NCT01401088,Evaluation of Safety and Efficacy of Glaucoma Shunt (Aurolab Artificial Drainage Implant) in Refractory Glaucoma,https://clinicaltrials.gov/study/NCT01401088,UNKNOWN,INTERVENTIONAL
NCT01467388,Efficacy of Selective Laser Trabeculoplasty in Pseudophakic Patients,https://clinicaltrials.gov/study/NCT01467388,UNKNOWN,OBSERVATIONAL
